split,date,raw_type,mapped_label,class_index,file_path,file_name,window_index,start_sample,end_sample
val,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152247_116628774_ecgdata.csv,152247_116628774_ecgdata.csv,0,0,2500
val,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152247_116628774_ecgdata.csv,152247_116628774_ecgdata.csv,1,2500,5000
val,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152247_116628774_ecgdata.csv,152247_116628774_ecgdata.csv,2,5000,7500
val,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152247_116628774_ecgdata.csv,152247_116628774_ecgdata.csv,3,7500,10000
val,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152247_116628774_ecgdata.csv,152247_116628774_ecgdata.csv,4,10000,12500
val,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152247_116628774_ecgdata.csv,152247_116628774_ecgdata.csv,5,12500,15000
val,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152247_116628774_ecgdata.csv,152247_116628774_ecgdata.csv,6,15000,17500
val,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152247_116628774_ecgdata.csv,152247_116628774_ecgdata.csv,7,17500,20000
test,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/148997_116642747_ecgdata.csv,148997_116642747_ecgdata.csv,0,0,2500
test,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/148997_116642747_ecgdata.csv,148997_116642747_ecgdata.csv,1,2500,5000
test,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/148997_116642747_ecgdata.csv,148997_116642747_ecgdata.csv,2,5000,7500
test,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/148997_116642747_ecgdata.csv,148997_116642747_ecgdata.csv,3,7500,10000
test,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/148997_116642747_ecgdata.csv,148997_116642747_ecgdata.csv,4,10000,12500
test,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/148997_116642747_ecgdata.csv,148997_116642747_ecgdata.csv,5,12500,15000
test,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/148997_116642747_ecgdata.csv,148997_116642747_ecgdata.csv,6,15000,17500
test,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/148997_116642747_ecgdata.csv,148997_116642747_ecgdata.csv,7,17500,20000
train,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152393_116607155_ecgdata.csv,152393_116607155_ecgdata.csv,0,0,2500
train,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152393_116607155_ecgdata.csv,152393_116607155_ecgdata.csv,1,2500,5000
train,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152393_116607155_ecgdata.csv,152393_116607155_ecgdata.csv,2,5000,7500
train,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152393_116607155_ecgdata.csv,152393_116607155_ecgdata.csv,3,7500,10000
train,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152393_116607155_ecgdata.csv,152393_116607155_ecgdata.csv,4,10000,12500
train,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152393_116607155_ecgdata.csv,152393_116607155_ecgdata.csv,5,12500,15000
train,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152393_116607155_ecgdata.csv,152393_116607155_ecgdata.csv,6,15000,17500
train,2025-07-13,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-13/SRhy/152393_116607155_ecgdata.csv,152393_116607155_ecgdata.csv,7,17500,20000
val,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/152165_116667517_ecgdata.csv,152165_116667517_ecgdata.csv,0,0,2500
val,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/152165_116667517_ecgdata.csv,152165_116667517_ecgdata.csv,1,2500,5000
val,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/152165_116667517_ecgdata.csv,152165_116667517_ecgdata.csv,2,5000,7500
val,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/152165_116667517_ecgdata.csv,152165_116667517_ecgdata.csv,3,7500,10000
val,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/152165_116667517_ecgdata.csv,152165_116667517_ecgdata.csv,4,10000,12500
val,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/152165_116667517_ecgdata.csv,152165_116667517_ecgdata.csv,5,12500,15000
val,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/152165_116667517_ecgdata.csv,152165_116667517_ecgdata.csv,6,15000,17500
val,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/152165_116667517_ecgdata.csv,152165_116667517_ecgdata.csv,7,17500,20000
test,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/151053_116701287_ecgdata.csv,151053_116701287_ecgdata.csv,0,0,2500
test,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/151053_116701287_ecgdata.csv,151053_116701287_ecgdata.csv,1,2500,5000
test,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/151053_116701287_ecgdata.csv,151053_116701287_ecgdata.csv,2,5000,7500
test,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/151053_116701287_ecgdata.csv,151053_116701287_ecgdata.csv,3,7500,10000
test,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/151053_116701287_ecgdata.csv,151053_116701287_ecgdata.csv,4,10000,12500
test,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/151053_116701287_ecgdata.csv,151053_116701287_ecgdata.csv,5,12500,15000
test,2025-07-13,AF,AFIB,1,/Users/Sonny/Research/Ecgdata/2025-07-13/AF/151053_116701287_ecgdata.csv,151053_116701287_ecgdata.csv,6,15000,17500
